hood_id,name,geometry
57,Belmont Heights,"list(c(-87.8266958, -87.82675606, -87.8253936, -87.81855714, -87.81852363, -87.80937526, -87.80729908, -87.80660607, -87.81646441, -87.81656479, -87.82629472, -87.8266958, 41.94445432, 41.94503567, 41.94507808, 41.94829204, 41.95245635, 41.95265708, 41.95269601, 41.93443698, 41.93433651, 41.93796877, 41.93777003, 41.94445432))"
58,Big Oaks,"list(c(-87.78787558, -87.78804222, -87.80255966, -87.80256393, -87.80720926, -87.80708452, -87.8048993, -87.78787558, 41.97562598, 41.96885586, 41.96876139, 41.96824682, 41.96824112, 41.97457812, 41.97548893, 41.97562598))"
59,Union Ridge,"list(c(-87.78770867, -87.78791165, -87.80500818, -87.80712059, -87.80694681, -87.78770867, 41.98242317, 41.97565323, 41.97548943, 41.97460537, 41.98248591, 41.98242317))"
60,Oriola Park,"list(c(-87.82353049, -87.81942833, -87.81689269, -87.81286758, -87.80967648, -87.8069947, -87.80715755, -87.81688662, -87.81691572, -87.81956564, -87.8195004, -87.82490941, -87.82353049, 41.98312951, 41.98316539, 41.982504, 41.98199832, 41.98160464, 41.98107778, 41.97452429, 41.97427055, 41.97066855, 41.97059919, 41.97420103, 41.97406261, 41.98312951))"
61,Old Norwood Park,"list(c(-87.80698311, -87.80676262, -87.78183287, -87.7822703, -87.78567599, -87.80698311, 41.98248608, 41.99602685, 41.98188051, 41.98166594, 41.98241349, 41.98248608))"
62,Norwood Park,"list(c(-87.82359536, -87.8229166, -87.82154915, -87.80954074, -87.8090236, -87.80734147, -87.80682471, -87.80673476, -87.80563704, -87.80563227, -87.80104849, -87.80111745, -87.79976233, -87.79957714, -87.79744627, -87.79750354, -87.79111286, -87.78362991, -87.77836064, -87.77797341, -87.77806421, -87.80683939, -87.80696237, -87.80986141, -87.81501944, -87.81804768, -87.81946386, -87.82359536, 41.98308767, 41.98727358, 41.99684906, 41.99718008, 41.99727402, 41.99774781, 41.99779359, 42.00087468, 
42.00091779, 42.00149555, 42.00157068, 42.00104137, 42.00098693, 41.99997495, 42.00006132, 42.00092826, 42.0009464, 41.99287001, 41.99019649, 41.99019461, 41.97974681, 41.99601216, 41.98108666, 41.9816777, 41.98223074, 41.98282216, 41.98326184, 41.98308767))"
63,South Edgebrook,"list(c(-87.76827386, -87.78350208, -87.78785132, -87.78197735, -87.78198732, -87.77414422, -87.7737013, -87.77222368, -87.77222918, -87.77133116, -87.771529, -87.7683171, -87.76827386, 41.98499538, 41.99272495, 41.99736796, 41.99738804, 41.99623253, 41.9926316, 41.99161832, 41.99084073, 41.99021483, 41.9895845, 41.98910399, 41.98740302, 41.98499538))"
64,Indian Woods,"list(c(-87.75942608, -87.76833073, -87.76831795, -87.7663003, -87.75942608, 41.98572187, 41.98586234, 41.98730673, 41.98922273, 41.98572187))"
65,Forest Glen,"list(c(-87.74803366, -87.7540996, -87.75511454, -87.76313579, -87.76827428, -87.76826704, -87.75949104, -87.7580302, -87.75682672, -87.75299338, -87.75202849, -87.75060313, -87.74828091, -87.74803366, 41.97536055, 41.97529502, 41.97722608, 41.98222551, 41.98494724, 41.98576573, 41.98567404, 41.98306671, 41.98055695, 41.98342655, 41.98308462, 41.98370333, 41.98359522, 41.97536055))"
66,Jefferson Park,"list(c(-87.7868783, -87.78691649, -87.78678705, -87.78680795, -87.78796922, -87.78778556, -87.78552703, -87.78237131, -87.78191836, -87.77806546, -87.77805751, -87.76938837, -87.76842053, -87.76827513, -87.75505001, -87.75422821, -87.74796914, -87.74745849, -87.7868783, 41.96019257, 41.96327428, 41.96332181, 41.96842568, 41.9684312, 41.98239344, 41.98238269, 41.98164536, 41.98178763, 41.97960237, 41.98051715, 41.97570818, 41.97570342, 41.98485094, 41.97722575, 41.97534381, 41.97536022, 41.96067226, 
41.96019257))"
67,Gladstone Park,"list(c(-87.77791222, -87.76827428, -87.76842053, -87.76932427, -87.77812162, -87.77791222, 41.98980913, 41.98494724, 41.97570342, 41.97565972, 41.98056561, 41.98980913))"
68,Rivers Edge,"list(c(-87.73800183, -87.73238724, -87.73189732, -87.73293058, -87.73814388, -87.73800183, 41.97863122, 41.97869826, 41.97590308, 41.97581219, 41.97723565, 41.97863122))"
69,Sauganash Woods,"list(c(-87.73809277, -87.73409105, -87.73322607, -87.73780781, -87.73809277, 41.98272432, 41.9827998, 41.97870265, 41.97867836, 41.98272432))"
70,North Mayfair,"list(c(-87.74796958, -87.72822319, -87.7280344, -87.74777853, -87.74796958, 41.97531207, 41.97549858, 41.96817899, 41.9679925, 41.97531207))"
71,Mayfair,"list(c(-87.72803485, -87.72779207, -87.72971589, -87.74745761, -87.74777897, -87.72803485, 41.96813084, 41.95970354, 41.96091739, 41.96076855, 41.96794435, 41.96813084))"
72,Galewood,"list(c(-87.80630748, -87.79508626, -87.79502868, -87.7898484, -87.78986327, -87.77545409, -87.77525496, -87.77542211, -87.80569839, -87.80630748, 41.92331128, 41.91945003, 41.91666844, 41.91658357, 41.9148302, 41.91482156, 41.90980212, 41.9091983, 41.90879724, 41.92331128))"
73,North Austin,"list(c(-87.7459106, -87.74602089, -87.77548475, -87.77566493, -87.77534117, -87.7754404, -87.76540107, -87.75787875, -87.7459106, 41.91443237, 41.9024007, 41.90200344, 41.90919948, 41.90919791, 41.91639355, 41.91652572, 41.91582317, 41.91443237))"
74,Spoth Austin,"list(c(-87.74593996, -87.7450073, -87.76224124, -87.76442856, -87.76477354, -87.77464552, -87.77548475, -87.74593996, 41.90240028, 41.87174039, 41.87140413, 41.87105221, 41.87776541, 41.877572, 41.90200344, 41.90240028))"
75,West Humboldt Park,"list(c(-87.74595494, -87.7263634, -87.72609678, -87.74576423, -87.74595494, 41.90959552, 41.90991688, 41.89534375, 41.89508328, 41.90959552))"
76,West Garfield Park,"list(c(-87.74492641, -87.74568442, -87.72609678, -87.72533154, -87.73471703, -87.73991051, -87.74492641, 41.87173997, 41.89496195, 41.89534375, 41.87363322, 41.87350113, 41.87177463, 41.87173997))"
77,Humboldt Park,"list(c(-87.72636397, -87.70701571, -87.7066365, -87.70186004, -87.70198675, -87.69680775, -87.69722072, -87.68726262, -87.68676273, -87.7260962, -87.72636397, 41.90985642, 41.9101153, 41.89922979, 41.89938502, 41.90295306, 41.90286401, 41.91018238, 41.91036864, 41.89573365, 41.89540421, 41.90985642))"
78,East Garfield Park,"list(c(-87.7260962, -87.70149236, -87.70140382, -87.69646574, -87.69650657, -87.69156939, -87.69133775, -87.69667511, -87.70161397, -87.70598887, -87.70608741, -87.71110285, -87.71106765, -87.71616314, -87.71605196, -87.72074432, -87.72047843, -87.72541128, -87.7260962, 41.89540421, 41.89563425, 41.88819674, 41.88841131, 41.88430001, 41.88445392, 41.87526213, 41.87547323, 41.87507726, 41.87443614, 41.88090631, 41.88099405, 41.88462169, 41.88483058, 41.88797409, 41.88805968, 41.87354696, 41.87375457, 
41.89540421))"
79,Fifth City,"list(c(-87.71595824, -87.70616831, -87.70590798, -87.70817777, -87.71562127, -87.71595824, 41.88089933, 41.88090675, 41.8744357, 41.87396437, 41.87388372, 41.88089933))"
80,West Town,"list(c(-87.65087988, -87.65743533, -87.66714649, -87.66696218, -87.66931166, -87.67675647, -87.68234161, -87.69173181, -87.69650537, -87.69638543, -87.68659438, -87.68689608, -87.69971267, -87.65827193, -87.65521927, -87.65087988, 41.89117263, 41.89109048, 41.8910263, 41.88540211, 41.8851134, 41.88503528, 41.88482522, 41.88439436, 41.88442093, 41.8883504, 41.88835614, 41.89053453, 41.89556398, 41.89617434, 41.89404013, 41.89117263))"
81,East Ukrainian Village,"list(c(-87.67729906, -87.66758543, -87.66725618, -87.67704901, -87.67729906, 41.90317746, 41.90330294, 41.89604541, 41.89598087, 41.90317746))"
